,Title,Year,Age Rating,IMDb,Rotten Tomatoes,Netflix,Hulu,Prime Video,Disney+,Directors,Genres,Country,Language,Runtime (min)
92,Naruto the Movie: Ninja Clash in the Land of Snow,2004,16+,6.7,,1,0,0,0,Tensai Okamura,"Animation,Action,Adventure,Comedy",Japan,Japanese,113.0
93,Lion's Heart,2013,18+,6.7,,1,0,0,0,Marcos Carnevale,"Comedy,Drama,Romance","Argentina,Brazil",Spanish,94.0
94,Katt Williams: American Hustle,2007,18+,6.7,,1,0,0,0,Brit McAdams,"Documentary,Comedy",United States,English,90.0
95,Phobia 2,2009,18+,6.7,,1,0,0,0,"Banjong Pisanthanakun,Visute Poolvoralaks,Paween Purikitpanya,Songyos Sugmakanan,Parkpoom Wongpoom","Comedy,Fantasy,Horror,Mystery,Thriller",Thailand,Thai,125.0
96,Naruto the Movie: Legend of the Stone of Gelel,2005,16+,6.6,,1,0,0,0,Hirotsugu Kawasaki,"Animation,Adventure,Comedy,Drama,Fantasy",Japan,Japanese,97.0
97,Iliza Shlesinger: Confirmed Kills,2016,18+,6.6,,1,0,0,0,Bobcat Goldthwait,Comedy,United States,English,77.0
98,Chris D'Elia: Incorrigible,2015,18+,6.5,,1,0,0,0,Bill D'Elia,"Documentary,Comedy",United States,English,83.0
99,Joan Rivers: Don't Start with Me,2012,18+,6.5,,1,0,0,0,Scott L. Montoya,Comedy,United States,English,68.0
100,No Other Woman,2011,16+,6.3,,1,0,0,0,Frederick De Cordova,"Action,Adventure,Comedy,Musical,Romance",United States,English,77.0
101,Chris Tucker Live,2015,18+,6.3,,1,0,0,0,Phil Joanou,"Documentary,Comedy",United States,English,92.0
102,Whitney Cummings: Money Shot,2010,18+,6.3,,1,0,1,0,John Fortenberry,"Documentary,Comedy",United States,English,48.0
103,Frank and Cindy,2015,18+,6.1,,1,0,0,0,G.J. Echternkamp,Comedy,United States,English,102.0
104,True Memoirs of an International Assassin,2016,16+,5.9,,1,0,0,0,Jeff Wadlow,"Action,Comedy,Crime",United States,English,98.0
105,¡Asu Mare! 2,2015,18+,5.7,,1,0,0,0,Ricardo Maldonado,"Biography,Comedy",Peru,Spanish,100.0
106,Manhattan Romance,2015,16+,5.6,,1,0,0,0,Tom O'Brien,"Comedy,Drama,Romance",United States,English,94.0
107,People You May Know,2016,18+,5.6,,1,0,0,0,Sherwin Shilati,"Comedy,Drama,Romance",United States,English,92.0
